id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
77327,Duplex studio Edville Ghent 4p,414263,Edward En Daphne,,Binnenstad,51.0376,3.73065,Entire home/apt,90,2,12,2022-08-28,0.13,10,320,1,
187870,Luxury studio 'Spiegelhof' in the centre of Ghent,904277,Tamara,,Watersportbaan - Ekkergem,51.05168,3.70283,Private room,80,2,426,2021-10-01,3.18,1,261,1,
252269,Large & bright town House - Center Ghent - max 8p,1195314,Anne-Sophie,,Elisabethbegijnhof - Papegaai,51.05216,3.71993,Entire home/apt,246,2,212,2022-09-08,1.67,1,234,49,
476371,Basic room in a 19th century house near station.,996824,Annabell,,Macharius - Heirnis,51.04857,3.74224,Private room,60,2,46,2022-08-29,0.37,3,356,22,
599325,Ghent! Need I say more?,2964980,Sas,,Ledeberg,51.03454,3.74631,Private room,41,2,127,2022-07-01,1.03,1,232,15,
696209,Black & White studioB central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,90,35,2022-05-01,0.30,4,295,2,
743981,Black & White studioA central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,15,20,2020-12-17,0.17,4,187,0,
782514,Garden studio,3644609,Bob,,Sint Amandsberg,51.06837,3.77456,Entire home/apt,120,3,53,2022-08-11,0.53,1,363,4,
835795,Koestraat 46,4369972,Koestraat 46,,Binnenstad,51.05277,3.72902,Entire home/apt,106,2,413,2022-08-21,3.56,1,248,60,
887716,Duplex studio F central Ghent,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021,3.71624,Entire home/apt,95,90,8,2021-12-31,0.13,4,263,1,
924683,Perfect apartment centre of Ghent,4974034,Carmen,,Elisabethbegijnhof - Papegaai,51.05353,3.71675,Entire home/apt,68,3,366,2022-09-10,3.14,1,232,22,
934215,EDVILLE HOME GHENT (30P),414263,Edward En Daphne,,Moscou - Vogelhoek,51.01509,3.78519,Entire home/apt,1100,2,78,2022-08-07,0.67,10,276,14,
950284,"Studiomie One Room Hotel, a wonderful place!",5155260,Mieke,,Sluizeken - Tolhuis - Ham,51.06266,3.73218,Private room,135,2,5,2014-11-11,0.05,1,0,0,
